StateName,StateAbbr,StateFIPS,Division,Region
Connecticut,CT,9,New England,NORTHEAST
Maine,ME,23,New England,NORTHEAST
Massachusetts,MA,25,New England,NORTHEAST
New Hampshire,NH,33,New England,NORTHEAST
Rhode Island,RI,44,New England,NORTHEAST
Vermont,VT,50,New England,NORTHEAST
New Jersey,NJ,34,Middle Atlantic,NORTHEAST
New York,NY,36,Middle Atlantic,NORTHEAST
Pennsylvania,PA,42,Middle Atlantic,NORTHEAST
Illinois,IL,17,East North Central,MIDWEST
Indiana,IN,18,East North Central,MIDWEST
Michigan,MI,26,East North Central,MIDWEST
Ohio,OH,39,East North Central,MIDWEST
Wisconsin,WI,55,East North Central,MIDWEST
Iowa,IA,19,West North Central,MIDWEST
Kansas,KS,20,West North Central,MIDWEST
Minnesota,MN,27,West North Central,MIDWEST
Missouri,MO,29,West North Central,MIDWEST
Nebraska,NE,31,West North Central,MIDWEST
North Dakota,ND,38,West North Central,MIDWEST
South Dakota,SD,46,West North Central,MIDWEST
Delaware,DE,10,South Atlantic,SOUTH
District of Columbia,DC,11,South Atlantic,SOUTH
Florida,FL,12,South Atlantic,SOUTH
Georgia,GA,13,South Atlantic,SOUTH
Maryland,MD,24,South Atlantic,SOUTH
North Carolina,NC,37,South Atlantic,SOUTH
South Carolina,SC,45,South Atlantic,SOUTH
Virginia,VA,51,South Atlantic,SOUTH
West Virginia,WV,54,South Atlantic,SOUTH
Alabama,AL,1,East South Central,SOUTH
Kentucky,KY,21,East South Central,SOUTH
Mississippi,MS,28,East South Central,SOUTH
Tennessee,TN,47,East South Central,SOUTH
Arkansas,AR,5,West South Central,SOUTH
Louisiana,LA,22,West South Central,SOUTH
Oklahoma,OK,40,West South Central,SOUTH
Texas,TX,48,West South Central,SOUTH
Arizona,AZ,4,Mountain,WEST
Colorado,CO,8,Mountain,WEST
Idaho,ID,16,Mountain,WEST
Montana,MT,30,Mountain,WEST
Nevada,NV,32,Mountain,WEST
New Mexico,NM,35,Mountain,WEST
Utah,UT,49,Mountain,WEST
Wyoming,WY,56,Mountain,WEST
Alaska,AK,2,Pacific,WEST
California,CA,6,Pacific,WEST
Hawaii,HI,15,Pacific,WEST
Oregon,OR,41,Pacific,WEST
Washington,WA,53,Pacific,WEST
